form	lemma	POS	morph
འུྃཿ་		NON_WORD
		
ཀློང་ཆེན་	ཀློང་ཆེན་	PROPN
སྙིང་	སྙིང་	NOUN
གི་	གི་	PART
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
		
གཞི་	གཞི་	NOUN
ལམ་	གམ་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
འི་	གི་	PART
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
བཞུགས་	བཞུགས་	VERB
༔		PUNCT
དཔལ་	དཔལ་	OTHER
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
བཟང་པོ་	བཟང་པོ་	ADJ
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
༔		PUNCT
གདོད་མ་	གདོད་མ་	OTHER
འི་	གི་	PART
གནས་ལུགས་	གནས་ལུགས་	VERB
རང་བཞིན་	རང་བཞིན་	NOUN
སྤྲོས་	སྤྲོས་	VERB
དང་	དང་	NO_POS
བྲལ་	བྲལ་	VERB
༔		PUNCT
ཡོད་པ་	ཡོད་པ་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
ས་	གིས་	PART
འདི་	འདི་	DET
མ་	མ་	PART
གཟིགས་	གཟིགས་	VERB
༔		PUNCT
མེད་པ་	མེད་པ་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
འཁོར་འདས་	འཁོར་འདས་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
གཞི་	གཞི་	NOUN
༔		PUNCT
འགལ་འདུ་	འགལ་འདུ་	NO_POS
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
བརྗོད་བྱ་	བརྗོད་བྱ་	NOUN
འི་	གི་	PART
ཡུལ་	ཡུལ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འདའ་	འདའ་	VERB
༔		PUNCT
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
གཞི་	གཞི་	NOUN
ཡི་	གི་	PART
གནས་ལུགས་	གནས་ལུགས་	VERB
རྟོགས་པ་	རྟོགས་པ་	VERB
ར་	ལ་	PART
ཤོག་	ཤོག་	VERB
༔		PUNCT
ངོ་བོ་	ངོ་བོ་	NOUN
སྟོང་པ་	སྟོང་པ་	VERB
ས་	གིས་	PART
རྟག་པ་	རྟག་པ་	VERB
འི་	གི་	PART
མཐའ་	མཐའ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
གྲོལ་	གྲོལ་	VERB
༔		PUNCT
རང་བཞིན་	རང་བཞིན་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ས་	གིས་	PART
ཆད་པ་	ཆད་པ་	VERB
འི་	གི་	PART
མུ་	མུ་	NOUN
དང་	དང་	NO_POS
བྲལ་	བྲལ་	VERB
༔		PUNCT
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འགག་	འགག་	VERB
མེད་	མེད་	VERB
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
གཞི་	གཞི་	NOUN
༔		PUNCT
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
དབྱེ་	དབྱེ་	VERB
ཡང་	ཀྱང་	PART
དོན་	དོན་	NOUN
ལ་	ལ་	PART
ཐ་	ཐ་	NOUN
མི་	མི་	PART
དད་	དད་	VERB
༔		PUNCT
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
གཞི་	གཞི་	NOUN
ཡི་	གི་	PART
གནས་ལུགས་	གནས་ལུགས་	VERB
རྟོགས་པ་	རྟོགས་པ་	VERB
ར་	ལ་	PART
ཤོག་	ཤོག་	VERB
༔		PUNCT
བསམ་	བསམ་	NOUN
གྱིས་	གིས་	PART
མི་	མི་	PART
ཁྱབ་	ཁྱབ་	VERB
སྒྲོ་འདོགས་	སྒྲོ་འདོགས་	NOUN
ཀུན་	ཀུན་	DET
དང་	དང་	NO_POS
བྲལ་	བྲལ་	VERB
༔		PUNCT
ཡོད་	ཡོད་	VERB
དང་	དང་	NO_POS
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
འཛིན་རྣམ་པ་	འཛིན་རྣམ་པ་	NO_POS
ར་	ལ་	PART
ཞིག་	ཅིག་	PART
༔		PUNCT
འདི་	འདི་	DET
དོན་	དོན་	NOUN
བརྗོད་	བརྗོད་	VERB
ལ་	ལ་	PART
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
ལྗགས་	ལྗགས་	NOUN
ཀྱང་	ཀྱང་	PART
རྡུགས་	རྡུགས་	NO_POS
༔		PUNCT
ཐོག་མཐའ་	ཐོག་མཐའ་	OTHER
བ་	བ་	NOUN
མེད་	མེད་	VERB
གཏིང་	གཏིང་	NOUN
གསལ་	གསལ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
དབྱིངས་	དབྱིངས་	NOUN
༔		PUNCT
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
གཞི་	གཞི་	NOUN
ཡི་	གི་	PART
གནས་ལུགས་	གནས་ལུགས་	VERB
རྟོགས་པ་	རྟོགས་པ་	VERB
ར་	ལ་	PART
ཤོག་	ཤོག་	VERB
༔		PUNCT
རང་	རང་	PRON
ངོ་	གོ་	PART
རྣམ་དག་	རྣམ་དག་	ADJ
སྐྱེ་	སྐྱེ་	NOUN
མེད་	མེད་	VERB
ཀ་དག་	ཀ་དག་	OTHER
ལ་	ལ་	PART
༔		PUNCT
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
འདུས་མ་བྱས་པ་	འདུས་མ་བྱས་པ་	NO_POS
འི་	གི་	PART
གདངས་	གདངས་	NOUN
ཤར་བ་	ཤར་བ་	VERB
༔		PUNCT
གུད་	གུད་	VERB
དུ་མ་	དུ་མ་	ADJ
བཟུང་	བཟུང་	NO_POS
རིག་	རིག་	VERB
སྟོང་	སྟོང་	NUM
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
ཆེ་	ཆེ་	VERB
ར་	ལ་	PART
༔		PUNCT
རྟོགས་པ་	རྟོགས་པ་	VERB
ས་	གིས་	PART
གཞི་	གཞི་	NOUN
ཡི་	གི་	PART
དགོངས་པ་	དགོངས་པ་	VERB
ཚད་	ཚད་	NOUN
དུ་	ལ་	PART
ཕྱིན་	ཕྱིན་	VERB
༔		PUNCT
ལམ་	གམ་	PART
གྱི་	གི་	PART
གནད་	གནད་	NOUN
ལ་	ལ་	PART
གོལ་	གོལ་	NO_POS
ཕྱོགས་མེད་	ཕྱོགས་མེད་	ADJ
པར་ཤོག་	པར་ཤོག་	NO_POS
༔		PUNCT
ཡེ་ནས་	ཡེ་ནས་	NO_POS
དག་པ་	དག་པ་	VERB
ས་	གིས་	PART
ལྟ་བ་	ལྟ་བ་	VERB
འི་	གི་	PART
མིང་	མིང་	NOUN
ཡང་	ཀྱང་	PART
མེད་	མེད་	VERB
༔		PUNCT
རང་	རང་	PRON
ངོ་	གོ་	PART
རིག་པ་	རིག་པ་	VERB
ས་	གིས་	PART
སྒོམ་	སྒོམ་	VERB
རྒྱུ་	རྒྱུ་	NOUN
འི་	གི་	PART
ཤུབས་	ཤུབས་	NOUN
ན་	ནས་	PART
འདོན་	འདོན་	VERB
༔		PUNCT
གཟའ་	གཟའ་	NOUN
གཏད་མེད་པ་	གཏད་མེད་པ་	NO_POS
ས་	གིས་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
སྒྲོག་	སྒྲོག་	VERB
དང་	དང་	NO_POS
བྲལ་	བྲལ་	VERB
༔		PUNCT
རང་བཞིན་	རང་བཞིན་	NOUN
ལྷུམས་	ལྷུམས་	NOUN
ཞུགས་	ཞུགས་	VERB
སྤྲོས་བྲལ་	སྤྲོས་བྲལ་	ADJ
རྗེན་པ་	རྗེན་པ་	NO_POS
འི་	གི་	PART
ངང་	ངང་	NOUN
༔		PUNCT
ལམ་	གམ་	PART
གྱི་	གི་	PART
གནད་	གནད་	NOUN
ལ་	ལ་	PART
གོལ་	གོལ་	NO_POS
ཕྱོགས་མེད་	ཕྱོགས་མེད་	ADJ
པར་ཤོག་	པར་ཤོག་	NO_POS
༔		PUNCT
བཟང་ངན་	བཟང་ངན་	ADJ
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
ཕྱོགས་	ཕྱོགས་	NOUN
སུ་	ལ་	PART
མ་	མ་	PART
ལྷུང་	ལྷུང་	VERB
ཞིང་	ཅིང་	PART
༔		PUNCT
བཏང་སྙོམས་	བཏང་སྙོམས་	NOUN
ལུང་	ལུང་	NOUN
མ་	མ་	PART
བསྟན་	བསྟན་	VERB
དུ་མ་	དུ་མ་	ADJ
འབྱམས་པ་	འབྱམས་པ་	NO_POS
ར་	ལ་	PART
༔		PUNCT
ཤ་	ཤ་	VERB
གྲོལ་	གྲོལ་	VERB
རི་	རི་	NOUN
མེད་	མེད་	VERB
རྒྱ་ཡན་	རྒྱ་ཡན་	NO_POS
ལྷུན་	ལྷུན་	NOUN
འབྱམས་	འབྱམས་	NO_POS
ཀློང་	ཀློང་	NOUN
༔		PUNCT
སྤང་བླང་	སྤང་བླང་	NOUN
ཡེ་	ཡེ་	ADV
ཟད་	ཟད་	VERB
རང་བཞིན་	རང་བཞིན་	NOUN
ཡོངས་ཤེས་	ཡོངས་ཤེས་	NO_POS
ངང་	ངང་	NOUN
༔		PUNCT
ལམ་	གམ་	PART
གྱི་	གི་	PART
གནད་	གནད་	NOUN
ལ་	ལ་	PART
གོལ་	གོལ་	NO_POS
ཕྱོགས་མེད་	ཕྱོགས་མེད་	ADJ
པར་ཤོག་	པར་ཤོག་	NO_POS
༔		PUNCT
ཐོག་མ་	ཐོག་མ་	NOUN
འི་	གི་	PART
སྤྱི་	སྤྱི་	DET
གཞི་	གཞི་	NOUN
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
འི་	གི་	PART
ངང་	ངང་	NOUN
༔		PUNCT
གཞི་	གཞི་	NOUN
སྣང་	སྣང་	VERB
རིག་པ་	རིག་པ་	VERB
མཁའ་	མཁའ་	NOUN
ལ་	ལ་	PART
སྤྲིན་	སྤྲིན་	NOUN
དེངས་	དེངས་	NO_POS
བཞིན་	བཞིན་	NOUN
༔		PUNCT
ཕྱི་	ཕྱི་	NOUN
གསལ་	གསལ་	VERB
ཤེས་པ་	ཤེས་པ་	VERB
ནང་	ནང་	NOUN
དུ་	ལ་	PART
ལྡོག་པ་	ལྡོག་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
ཁྱད་ཆོས་	ཁྱད་ཆོས་	NOUN
དྲུག་	དྲུག་	NUM
ལྡན་	ལྡན་	VERB
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
བུམ་སྐུ་	བུམ་སྐུ་	NO_POS
འི་	གི་	PART
སྦུབས་	སྦུབས་	NOUN
༔		PUNCT
འབྲས་བུ་	འབྲས་བུ་	NOUN
འི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
བཙན་ས་	བཙན་ས་	VERB
ཟིན་པ་	ཟིན་པ་	VERB
ར་	ལ་	PART
ཤོག་	ཤོག་	VERB
༔		PUNCT
ཡེ་ནས་	ཡེ་ནས་	NO_POS
རང་རིག་	རང་རིག་	NO_POS
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
བཟང་པོ་	བཟང་པོ་	ADJ
