form	lemma	POS	morph
ཡུམ་ཀ་	ཡུམ་ཀ་	PROPN
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
རྒྱལ་མོ་	རྒྱལ་མོ་	OTHER
འི་	གི་	PART
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
བཞུགས་	བཞུགས་	VERB
༔		PUNCT
ཌཱཀྐི་		NON_WORD
ལ་	ལ་	PART
ན་མོ་	ན་མོ་	X
༔		PUNCT
ཆུ་མོ་	ཆུ་མོ་	OTHER
སྦྲུལ་	སྦྲུལ་	NOUN
ཀྱི་	གི་	PART
ལོ་	ལོ་	NOUN
ར་	ལ་	PART
༔		PUNCT
སྐུ་	སྐུ་	NOUN
འི་	གི་	PART
དབེན་གནས་	དབེན་གནས་	OTHER
སྒྲགས་		NON_WORD
ཀྱི་	གི་	PART
ཡང་	ཀྱང་	PART
རྫོང་	རྫོང་	NOUN
དུ་	ལ་	PART
ཚོགས་	ཚོགས་	NOUN
ཀྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
སྟོང་	སྟོང་	NUM
རྩ་	རྩ་	NUM
དང་	དང་	NO_POS
༔		PUNCT
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
མེ་	མེ་	NOUN
མཆོད་	མཆོད་	VERB
སོགས་	སོགས་	DET
ཀྱི་	གི་	PART
ཆེད་	ཆེད་	NOUN
གནས་	གནས་	NOUN
འབྲེལ་	འབྲེལ་	VERB
དུ་	ལ་	PART
ལྷགས་པ་	ལྷགས་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
རེ་ཞིག་	རེ་ཞིག་	NO_POS
ན་	ལ་	PART
གཡོ་རུ་	གཡོ་རུ་	OTHER
སྒྲགས་		NON_WORD
ཀྱི་	གི་	PART
གྲོང་	གྲོང་	NOUN
མོ་	གོ་	PART
ཆེ་	ཆེ་	VERB
དང་	དང་	NO_POS
ཉེ་བ་	ཉེ་བ་	VERB
མཚོ་	མཚོ་	NOUN
རྒྱལ་	རྒྱལ་	VERB
བླ་མཚོ་	བླ་མཚོ་	NO_POS
ར་	ལ་	PART
སླེབས་པ་	སླེབས་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
༔		PUNCT
མྱོང་	མྱོང་	VERB
གྲོལ་	གྲོལ་	VERB
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཕུར་མ་	ཕུར་མ་	NO_POS
དང་	དང་	NO_POS
༔		PUNCT
མཚོ་	མཚོ་	NOUN
ད་	ད་	NOUN
བཅའ་	བཅའ་	VERB
ཕུལ་བ་	ཕུལ་བ་	VERB
སྲོག་ཆགས་	སྲོག་ཆགས་	NOUN
འཛུལ་བ་	འཛུལ་བ་	NO_POS
ལྟ་	ལྟ་	OTHER
དལ་	དལ་	NOUN
རིམ་གྱིས་	རིམ་གྱིས་	NO_POS
གཏིང་	གཏིང་	NOUN
དུ་	ལ་	PART
སོང་བ་	སོང་བ་	VERB
འི་	གི་	PART
ད་	ད་	NOUN
